Source,Destination,Protocol
212.227.96.110,192.168.1.103,HTTP
212.227.96.110,192.168.1.103,TCP
212.227.96.110,192.168.1.104,HTTP
212.227.96.110,192.168.1.104,TCP
212.227.96.110,192.168.1.105,HTTP
212.227.96.110,192.168.1.105,TCP
212.227.96.110,192.168.1.2,HTTP
212.227.96.110,192.168.1.2,TCP
212.227.97.133,192.168.1.102,HTTP
212.227.97.133,192.168.1.102,TCP
212.227.97.133,192.168.1.103,HTTP
212.227.97.133,192.168.1.103,TCP
212.227.97.133,192.168.1.104,HTTP
212.227.97.133,192.168.1.104,TCP
212.227.97.133,192.168.1.105,HTTP
212.227.97.133,192.168.1.105,TCP
212.227.97.133,192.168.1.2,HTTP
212.227.97.133,192.168.1.2,TCP
212.58.226.139,192.168.1.102,HTTP/XML
212.58.226.139,192.168.1.102,TCP
212.58.226.139,192.168.1.104,HTTP/XML
212.58.226.139,192.168.1.104,TCP
212.58.226.142,192.168.1.2,HTTP/XML
212.58.226.142,192.168.1.2,TCP
212.96.161.238,192.168.1.102,HTTP
212.96.161.238,192.168.1.102,TCP
212.96.161.238,192.168.1.103,HTTP
212.96.161.238,192.168.1.103,TCP
212.96.161.238,192.168.1.104,HTTP
212.96.161.238,192.168.1.104,TCP
212.96.161.238,192.168.1.105,HTTP
212.96.161.238,192.168.1.105,TCP
